group,miR141,miR146,miR148,miR145
experiment,-6.032380952380950000,-2.432857142857150000,-1.701428571428570000,0.378571428571434000
experiment,0.097619047619052100,-4.132857142857140000,-0.401428571428564000,0.728571428571435000
experiment,0.017619047619053600,-2.642857142857150000,-1.291428571428560000,0.328571428571433000
experiment,-2.892380952380940000,1.157142857142860000,0.928571428571434000,0.188571428571432000
experiment,-3.502380952380950000,-1.212857142857150000,0.458571428571435000,-3.311428571428570000
experiment,-5.232380952380950000,-2.932857142857150000,-0.551428571428566000,-0.531428571428567000
experiment,0.077619047619052300,-0.792857142857145000,1.568571428571430000,-3.331428571428570000
experiment,-2.392380952380950000,1.357142857142860000,0.808571428571437000,0.878571428571433000
experiment,-1.852380952380950000,-2.082857142857140000,-0.891428571428566000,0.788571428571433000
experiment,-10.202380952380900000,3.607142857142850000,-5.941428571428570000,1.718571428571430000
experiment,-4.572380952380950000,-1.812857142857150000,-0.941428571428567000,-2.341428571428570000
experiment,-5.572380952380950000,1.267142857142850000,0.078571428571432600,-2.291428571428570000
experiment,-1.492380952380950000,-1.792857142857140000,-0.041428571428564500,0.258571428571433000
experiment,-3.742380952380950000,-2.822857142857150000,-0.351428571428567000,0.178571428571430000
experiment,-3.102380952380940000,0.247142857142854000,-0.771428571428566000,-0.661428571428566000
experiment,-0.192380952380944000,-0.442857142857146000,-1.201428571428560000,2.038571428571430000
experiment,-0.212380952380947000,-1.012857142857140000,0.428571428571434000,-0.511428571428568000
experiment,-0.332380952380948000,-2.422857142857140000,0.518571428571434000,-2.481428571428570000
experiment,0.657619047619054000,-2.462857142857140000,0.878571428571437000,0.728571428571435000
experiment,0.000000000000000000,-0.742857142857144000,-0.061428571428564400,0.568571428571435000
experiment,0.000000000000000000,-0.232857142857146000,-0.691428571428563000,0.128571428571433000
experiment,0.000000000000000000,-0.752857142857146000,0.898571428571433000,0.188571428571432000
experiment,0.000000000000000000,0.387142857142855000,-0.121428571428566000,0.000000000000000000
experiment,0.000000000000000000,0.000000000000000000,-0.091428571428565500,0.000000000000000000
control,-2.322380952380950000,0.447142857142854000,0.448571428571434000,1.308571428571430000
control,-0.482380952380947000,-0.562857142857148000,0.058571428571433200,-0.861428571428569000
control,2.247619047619050000,1.377142857142850000,1.288571428571430000,1.128571428571430000
control,3.187619047619050000,0.917142857142856000,1.348571428571440000,0.778571428571436000
control,-0.552380952380947000,1.407142857142850000,0.558571428571433000,1.598571428571430000
control,3.477619047619050000,2.457142857142850000,1.488571428571430000,0.638571428571431000
control,-0.852380952380948000,0.307142857142853000,0.298571428571432000,0.828571428571432000
control,-0.452380952380945000,1.027142857142860000,-0.821428571428566000,0.808571428571433000
control,1.697619047619050000,0.357142857142854000,-0.471428571428565000,-0.441428571428567000
control,1.677619047619050000,-0.552857142857146000,0.188571428571436000,-1.301428571428570000
control,-1.442380952380940000,-1.072857142857150000,0.308571428571433000,0.148571428571433000
control,-2.892380952380950000,-1.442857142857150000,-0.741428571428567000,0.298571428571432000
control,-2.902380952380940000,-2.352857142857140000,-2.701428571428560000,-1.061428571428570000
control,3.957619047619050000,0.397142857142857000,0.798571428571435000,-0.111428571428565000
control,0.487619047619056000,1.107142857142860000,-0.041428571428564800,1.458571428571440000
control,0.437619047619055000,0.477142857142855000,0.078571428571436300,-3.301428571428570000
control,-1.842380952380950000,-2.612857142857140000,3.268571428571430000,0.118571428571432000
control,-0.922380952380944000,-0.802857142857142000,-1.431428571428570000,-0.761428571428567000
control,0.497619047619054000,1.707142857142850000,-0.841428571428565000,0.298571428571432000
control,2.267619047619050000,0.677142857142854000,0.148571428571433000,-0.711428571428566000
control,-5.272380952380940000,-3.262857142857140000,-3.231428571428570000,-0.861428571428568000
,,,,
,,,,